table_name,row_count
chassis,1138
circuit,77
constructor,185
constructor_chronology,207
continent,7
country,249
driver,912
driver_family_relationship,86
engine,419
engine_manufacturer,76
entrant,823
grand_prix,53
race,1149
race_constructor_standing,10389
race_data,182952
race_driver_standing,20998
season,76
season_constructor,1068
season_constructor_standing,710
season_driver,3379
season_driver_standing,1658
season_engine_manufacturer,555
season_entrant,1788
season_entrant_chassis,2281
season_entrant_constructor,1914
season_entrant_driver,3840
season_entrant_engine,2016
season_entrant_tyre_manufacturer,1944
season_tyre_manufacturer,159
tyre_manufacturer,9
